New_Date,Order_Id,Country,Device_Type,Category,Customer_Name,Sales_Manager,Sales_Rep, Order_Value_Eur ,  Cost  ,Date,Day,Month,Year
15-03-2019,03-8586261,Denmark,PC,Games,Tillman and Sons,Modestia Byfford,Cobby Andersen,"39,287.29"," 31,708.77 ",3/15/2019,3,15,2019
17-09-2020,46-6076582,Denmark,PC,Books,"Hartmann, Hane and Pfannerstill",Modestia Byfford,Cobby Andersen,"31,936.44"," 27,708.06 ",9/17/2020,9,17,2020
05-06-2020,82-1337530,Denmark,PC,Books,"Lubowitz, McLaughlin and Erdman",Modestia Byfford,Cobby Andersen,"1,09,892.92"," 89,441.85 ",05-06-2020,5,6,2020
03-01-2020,20-1827241,Denmark,PC,Appliances,Walter LLC,Modestia Byfford,Cobby Andersen,"43,609.57"," 34,634.72 ",03-01-2020,3,1,2020
11-11-2020,75-3776704,Denmark,PC,Clothing,"Keeling, Monahan and Pollich",Modestia Byfford,Case Desorts,"65,822.05"," 54,790.27 ",11-11-2020,11,11,2020
01-09-2020,51-1141675,Denmark,PC,Books,Johns and Sons,Modestia Byfford,Cobby Andersen,"47,516.54"," 38,987.32 ",01-09-2020,1,9,2020
26-09-2019,28-6585323,Finland,Mobile,Games,Hilll-Vandervort,Hube Corey,Wat Bowkley,"1,16,563.40"," 92,807.78 ",9/26/2019,9,26,2019
23-12-2020,41-6407014,Finland,PC,Clothing,Hessel-Stiedemann,Hube Corey,Wat Bowkley,"2,36,462.30"," 2,05,674.91 ",12/23/2020,12,23,2020
27-07-2020,42-8394841,Finland,Tablet,Games,Hegmann Group,Hube Corey,Wat Bowkley,"2,35,608.66"," 2,01,468.96 ",7/27/2020,7,27,2020
22-12-2020,64-4923214,Finland,PC,Beauty,Tromp LLC,Hube Corey,Wat Bowkley,"2,05,582.75"," 1,66,748.17 ",12/22/2020,12,22,2020
12-11-2019,94-8026718,Finland,PC,Clothing,Larkin-Collier,Hube Corey,Wat Bowkley,"2,00,635.57"," 1,72,245.64 ",12-11-2019,12,11,2019
09-08-2019,95-7886861,Finland,Mobile,Clothing,Smith Group,Hube Corey,Mellicent Mattys,"25,816.05"," 21,447.97 ",09-08-2019,9,8,2019
07-05-2020,54-5082146,Finland,PC,Appliances,"Rowe, Hermiston and Kessler",Hube Corey,Mellicent Mattys,"1,94,962.05"," 1,54,975.33 ",07-05-2020,7,5,2020
12-04-2020,13-0833129,Finland,Mobile,Appliances,Friesen and Sons,Hube Corey,Mellicent Mattys,"1,86,397.60"," 1,61,233.92 ",12-04-2020,12,4,2020
01-08-2019,18-8528486,Finland,PC,Electronics,"Murray, Reichel and Nolan",Hube Corey,Wat Bowkley,"35,619.28"," 28,192.66 ",01-08-2019,1,8,2019
19-04-2019,65-2022928,Finland,PC,Accessories,"Swaniawski, Runolfsson and Green",Hube Corey,Mellicent Mattys,"48,946.74"," 38,765.82 ",4/19/2019,4,19,2019
09-10-2019,66-8222460,Finland,PC,Clothing,Johns and Sons,Hube Corey,Wat Bowkley,"72,385.53"," 60,181.33 ",09-10-2019,9,10,2019
08-12-2020,66-7717800,Finland,PC,Games,Tillman and Sons,Hube Corey,Mellicent Mattys,"1,35,629.36"," 1,18,526.50 ",08-12-2020,8,12,2020
20-05-2020,24-7985425,Finland,PC,Clothing,"Murray, Reichel and Nolan",Hube Corey,Mellicent Mattys,"55,882.12"," 48,561.56 ",5/20/2020,5,20,2020
18-10-2019,36-1142710,Finland,PC,Beauty,Romaguera-Dietrich,Hube Corey,Wat Bowkley,"1,25,280.28"," 99,372.32 ",10/18/2019,10,18,2019
09-06-2019,61-4610981,Finland,PC,Games,McClure Inc,Hube Corey,Wat Bowkley,"27,824.83"," 23,517.55 ",09-06-2019,9,6,2019
01-03-2020,84-4478396,Finland,PC,Appliances,Kihn Inc,Hube Corey,Wat Bowkley,"53,616.06"," 45,589.74 ",01-03-2020,1,3,2020
30-05-2019,28-0849652,Finland,Tablet,Appliances,Friesen-Rath,Hube Corey,Wat Bowkley,"1,63,967.89"," 1,38,208.53 ",5/30/2019,5,30,2019
25-06-2019,75-5380350,Finland,PC,Beauty,"Hamill, Kulas and Roob",Hube Corey,Wat Bowkley,"41,675.01"," 33,765.09 ",6/25/2019,6,25,2019
09-01-2020,73-2763209,Finland,PC,Books,Hegmann Group,Hube Corey,Mellicent Mattys,"1,27,994.87"," 1,05,800.56 ",09-01-2020,9,1,2020
06-05-2020,29-0601002,Finland,PC,Games,West-Cummings,Hube Corey,Wat Bowkley,"2,93,767.28"," 2,54,079.32 ",06-05-2020,6,5,2020
23-08-2020,78-8990131,Finland,PC,Games,Johns and Sons,Hube Corey,Wat Bowkley,"1,07,271.94"," 86,665.00 ",8/23/2020,8,23,2020
06-03-2019,57-5645459,Finland,PC,Electronics,"Hartmann, Hane and Pfannerstill",Hube Corey,Mellicent Mattys,"1,80,250.02"," 1,47,354.39 ",06-03-2019,6,3,2019
09-05-2020,76-0724533,Finland,PC,Books,"Lueilwitz, Kerluke and Lesch",Hube Corey,Wat Bowkley,"1,54,078.75"," 1,31,336.73 ",09-05-2020,9,5,2020
05-03-2020,27-7554919,Finland,PC,Other,Romaguera-Dietrich,Hube Corey,Wat Bowkley,"1,33,057.07"," 1,13,351.32 ",05-03-2020,5,3,2020
06-08-2020,59-9184649,Finland,PC,Appliances,Romaguera-Dietrich,Hube Corey,Mellicent Mattys,"1,61,984.91"," 1,38,237.92 ",06-08-2020,6,8,2020
07-10-2019,51-3543971,Finland,Mobile,Beauty,Labadie and Sons,Hube Corey,Mellicent Mattys,"2,22,379.49"," 1,92,869.73 ",07-10-2019,7,10,2019
15-02-2020,51-4531731,Finland,Tablet,Electronics,Johns and Sons,Hube Corey,Mellicent Mattys,"1,06,115.85"," 93,063.60 ",2/15/2020,2,15,2020
27-05-2019,28-7069317,Finland,PC,Games,Hilll-Vandervort,Hube Corey,Wat Bowkley,"28,538.19"," 24,970.92 ",5/27/2019,5,27,2019
01-02-2019,95-1862126,Finland,PC,Games,Friesen-Rath,Hube Corey,Mellicent Mattys,"1,32,246.48"," 1,06,841.93 ",01-02-2019,1,2,2019
25-01-2020,97-5797169,Finland,PC,Outdoors,Gislason-Stanton,Hube Corey,Mellicent Mattys,"1,77,464.83"," 1,42,717.22 ",1/25/2020,1,25,2020
15-11-2019,92-4440351,Finland,PC,Appliances,Corwin and Sons,Hube Corey,Wat Bowkley,"99,989.89"," 81,191.79 ",11/15/2019,11,15,2019
08-09-2019,37-7100862,Finland,PC,Games,Johns and Sons,Hube Corey,Mellicent Mattys,"1,78,189.57"," 1,53,421.22 ",08-09-2019,8,9,2019
31-07-2020,55-6785409,Finland,PC,Electronics,Johns and Sons,Hube Corey,Mellicent Mattys,"52,388.85"," 45,641.17 ",7/31/2020,7,31,2020
08-05-2019,26-1201622,Finland,PC,Beauty,Johns and Sons,Hube Corey,Mellicent Mattys,"1,30,251.55"," 1,05,386.53 ",08-05-2019,8,5,2019
20-06-2019,98-4201877,Finland,Tablet,Clothing,"Hartmann, Hane and Pfannerstill",Hube Corey,Wat Bowkley,"2,04,138.34"," 1,65,617.44 ",6/20/2019,6,20,2019
08-09-2019,00-8086430,Finland,PC,Appliances,Johns and Sons,Hube Corey,Wat Bowkley,"1,00,978.49"," 86,568.86 ",08-09-2019,8,9,2019
11-09-2020,24-8477374,Finland,PC,Outdoors,McGlynn-Prosacco,Hube Corey,Wat Bowkley,"93,007.22"," 81,837.05 ",11-09-2020,11,9,2020
30-07-2019,96-5231814,Finland,PC,Appliances,O'Connell-Mitchell,Hube Corey,Mellicent Mattys,"1,45,809.65"," 1,23,136.25 ",7/30/2019,7,30,2019
07-09-2019,21-8525376,Finland,Tablet,Clothing,"Farrell, Swaniawski and Crist",Hube Corey,Mellicent Mattys,"1,94,531.02"," 1,58,970.75 ",07-09-2019,7,9,2019
28-10-2020,60-8083173,Finland,PC,Games,Hilll-Vandervort,Hube Corey,Mellicent Mattys,"65,211.07"," 56,883.62 ",10/28/2020,10,28,2020
17-01-2019,76-0164425,Finland,Tablet,Beauty,Johns and Sons,Hube Corey,Mellicent Mattys,"62,011.86"," 49,324.23 ",1/17/2019,1,17,2019
18-08-2020,49-2458036,Finland,Tablet,Electronics,Homenick-Marvin,Hube Corey,Wat Bowkley,"33,190.03"," 28,397.39 ",8/18/2020,8,18,2020
15-11-2020,03-6962760,Finland,PC,Games,Wunsch LLC,Hube Corey,Mellicent Mattys,"1,25,851.79"," 1,03,777.39 ",11/15/2020,11,15,2020
03-06-2020,31-1849120,Finland,PC,Clothing,Homenick-Marvin,Hube Corey,Wat Bowkley,"74,480.56"," 60,023.88 ",03-06-2020,3,6,2020
20-01-2019,62-3312495,France,PC,Appliances,Gislason-Stanton,Othello Bowes,Maighdiln Upcraft,"64,827.80"," 56,043.63 ",1/20/2019,1,20,2019
26-02-2019,68-3583935,France,PC,Smartphones,"Rowe, Hermiston and Kessler",Othello Bowes,Amelina Piscopiello,"1,07,499.78"," 91,364.06 ",2/26/2019,2,26,2019
29-03-2019,12-1249283,France,PC,Clothing,Dibbert Inc,Othello Bowes,Maighdiln Upcraft,"28,783.05"," 24,776.45 ",3/29/2019,3,29,2019
03-05-2019,57-6995715,France,PC,Electronics,"Rowe, Hermiston and Kessler",Othello Bowes,Crysta Halls,"55,804.05"," 46,401.07 ",03-05-2019,3,5,2019
18-11-2019,27-4115444,France,PC,Beauty,Wiza and Sons,Othello Bowes,Crysta Halls,"89,160.66"," 75,367.51 ",11/18/2019,11,18,2019
02-03-2019,25-6638623,France,PC,Games,"Schmitt, Purdy and Johnson",Othello Bowes,Ora Grennan,"18,326.41"," 15,067.97 ",02-03-2019,2,3,2019
29-01-2019,99-7422044,France,PC,Books,Johns and Sons,Othello Bowes,Avrit Chanders,"1,73,478.65"," 1,39,650.31 ",1/29/2019,1,29,2019
11-03-2020,80-8230605,France,PC,Other,"Spencer, Rogahn and Muller",Othello Bowes,Ora Grennan,"1,38,175.53"," 1,16,744.51 ",11-03-2020,11,3,2020
21-07-2020,69-1300467,France,PC,Electronics,"Christiansen, Donnelly and Bechtelar",Othello Bowes,Ora Grennan,"2,24,626.25"," 1,89,988.88 ",7/21/2020,7,21,2020
15-07-2019,99-8643527,France,PC,Clothing,Altenwerth-Konopelski,Othello Bowes,Avrit Chanders,"1,15,689.22"," 98,127.60 ",7/15/2019,7,15,2019
13-11-2020,46-2632808,France,PC,Smartphones,McGlynn-Prosacco,Othello Bowes,Crysta Halls,"1,23,672.70"," 1,06,036.97 ",11/13/2020,11,13,2020
04-11-2019,77-7771177,France,PC,Electronics,"Murray, Reichel and Nolan",Othello Bowes,Avrit Chanders,"1,44,640.80"," 1,18,345.10 ",04-11-2019,4,11,2019
27-12-2019,13-0624842,France,Mobile,Smartphones,O'Connell-Mitchell,Othello Bowes,Ora Grennan,"2,68,779.03"," 2,33,676.49 ",12/27/2019,12,27,2019
25-10-2019,46-0270404,France,PC,Beauty,West-Cummings,Othello Bowes,Amelina Piscopiello,"1,55,044.02"," 1,34,268.12 ",10/25/2019,10,25,2019
15-09-2019,11-8965256,France,Tablet,Beauty,"Shanahan, Schaden and Parker",Othello Bowes,Crysta Halls,"85,220.83"," 73,767.15 ",9/15/2019,9,15,2019
11-02-2019,07-3222085,France,PC,Smartphones,Smith Group,Othello Bowes,Ora Grennan,"1,22,139.94"," 1,03,684.60 ",11-02-2019,11,2,2019
06-07-2020,20-3384992,France,PC,Electronics,"Spencer, Rogahn and Muller",Othello Bowes,Amelina Piscopiello,"1,07,586.21"," 94,525.24 ",06-07-2020,6,7,2020
24-11-2019,82-9352154,France,PC,Accessories,McClure Inc,Othello Bowes,Maighdiln Upcraft,"1,02,771.44"," 83,584.01 ",11/24/2019,11,24,2019
13-01-2019,93-8309926,France,PC,Smartphones,Kihn Inc,Othello Bowes,Crysta Halls,"1,68,197.78"," 1,44,246.42 ",1/13/2019,1,13,2019
10-07-2019,03-9337803,France,PC,Clothing,"Schowalter, Lesch and Beahan",Othello Bowes,Ora Grennan,"56,811.14"," 48,221.30 ",10-07-2019,10,7,2019
30-09-2019,26-5649751,France,PC,Games,Hessel-Stiedemann,Othello Bowes,Amelina Piscopiello,"68,773.03"," 59,082.91 ",9/30/2019,9,30,2019
17-05-2020,24-6566439,France,PC,Games,Hegmann Group,Othello Bowes,Avrit Chanders,"37,397.43"," 30,837.92 ",5/17/2020,5,17,2020
29-05-2020,15-6838362,France,PC,Games,"Lueilwitz, Kerluke and Lesch",Othello Bowes,Avrit Chanders,"54,079.04"," 45,031.62 ",5/29/2020,5,29,2020
29-08-2020,32-1940437,France,Tablet,Beauty,"Bashirian, Okuneva and Bechtelar",Othello Bowes,Maighdiln Upcraft,"50,585.98"," 40,999.94 ",8/29/2020,8,29,2020
26-12-2020,31-8836719,France,Mobile,Books,"Zieme, Bailey and Herzog",Othello Bowes,Avrit Chanders,"84,194.21"," 71,885.02 ",12/26/2020,12,26,2020
12-08-2019,07-3201531,France,PC,Electronics,"Farrell, Swaniawski and Crist",Othello Bowes,Avrit Chanders,"69,126.50"," 55,902.60 ",12-08-2019,12,8,2019
30-05-2019,50-1695443,France,PC,Other,Considine-Fisher,Othello Bowes,Amelina Piscopiello,"65,036.81"," 52,361.14 ",5/30/2019,5,30,2019
07-03-2019,52-3693331,France,PC,Clothing,McGlynn-Prosacco,Othello Bowes,Maighdiln Upcraft,"2,54,021.98"," 2,05,605.39 ",07-03-2019,7,3,2019
16-08-2019,74-6473826,France,PC,Books,McGlynn-Bergstrom,Othello Bowes,Crysta Halls,"1,71,458.64"," 1,48,877.54 ",8/16/2019,8,16,2019
09-05-2020,34-0783331,France,PC,Other,"Rowe, Hermiston and Kessler",Othello Bowes,Maighdiln Upcraft,"70,657.26"," 61,330.50 ",09-05-2020,9,5,2020
26-05-2019,40-5308505,France,PC,Outdoors,Walter LLC,Othello Bowes,Maighdiln Upcraft,"1,41,436.98"," 1,14,691.25 ",5/26/2019,5,26,2019
26-05-2019,54-5107115,France,PC,Clothing,Stehr LLC,Othello Bowes,Ora Grennan,"66,141.13"," 53,435.42 ",5/26/2019,5,26,2019
03-12-2020,24-3140242,France,PC,Electronics,"Rowe, Hermiston and Kessler",Othello Bowes,Amelina Piscopiello,"56,106.13"," 45,081.27 ",03-12-2020,3,12,2020
24-07-2020,60-8646184,France,PC,Games,McGlynn-Bergstrom,Othello Bowes,Crysta Halls,"1,49,500.61"," 1,25,401.11 ",7/24/2020,7,24,2020
24-08-2019,32-2114915,France,PC,Beauty,Goldner-Dibbert,Othello Bowes,Crysta Halls,"53,089.52"," 44,812.86 ",8/24/2019,8,24,2019
15-09-2019,58-7865136,France,PC,Beauty,"Hamill, Kulas and Roob",Othello Bowes,Maighdiln Upcraft,"85,223.07"," 73,002.08 ",9/15/2019,9,15,2019
03-09-2020,55-1395838,France,PC,Clothing,Hessel-Stiedemann,Othello Bowes,Amelina Piscopiello,"1,08,713.83"," 90,341.19 ",03-09-2020,3,9,2020
16-06-2019,82-2972108,France,PC,Appliances,Considine-Fisher,Othello Bowes,Amelina Piscopiello,"1,19,820.82"," 98,289.02 ",6/16/2019,6,16,2019
13-02-2020,71-2709641,France,PC,Appliances,Altenwerth-Konopelski,Othello Bowes,Avrit Chanders,"62,788.04"," 53,049.61 ",2/13/2020,2,13,2020
09-09-2020,68-0080728,France,PC,Smartphones,Larkin-Collier,Othello Bowes,Avrit Chanders,"1,50,135.00"," 1,31,067.85 ",09-09-2020,9,9,2020
11-03-2019,85-7784608,France,PC,Appliances,Johns and Sons,Othello Bowes,Amelina Piscopiello,"86,077.83"," 72,288.16 ",11-03-2019,11,3,2019
24-11-2020,97-4830372,France,PC,Electronics,Johns and Sons,Othello Bowes,Maighdiln Upcraft,"1,76,114.73"," 1,49,257.23 ",11/24/2020,11,24,2020
08-09-2020,95-8015610,France,PC,Games,Stehr-Bogan,Othello Bowes,Crysta Halls,"1,46,325.53"," 1,18,333.46 ",08-09-2020,8,9,2020
19-05-2020,96-0020600,France,Mobile,Electronics,Altenwerth-Konopelski,Othello Bowes,Amelina Piscopiello,"1,65,262.34"," 1,42,621.40 ",5/19/2020,5,19,2020
10-12-2020,81-4176165,France,PC,Beauty,Wisoky Inc,Othello Bowes,Ora Grennan,"26,713.46"," 22,043.95 ",10-12-2020,10,12,2020
30-10-2019,24-9702599,France,PC,Books,"Swaniawski, Runolfsson and Green",Othello Bowes,Amelina Piscopiello,"49,664.17"," 39,244.63 ",10/30/2019,10,30,2019
04-06-2019,77-3656041,France,PC,Beauty,Johns and Sons,Othello Bowes,Ora Grennan,"1,18,027.37"," 96,050.67 ",04-06-2019,4,6,2019
22-03-2019,50-1986322,France,PC,Electronics,Wiza and Sons,Othello Bowes,Maighdiln Upcraft,"50,516.20"," 43,918.78 ",3/22/2019,3,22,2019
15-06-2019,86-6760202,France,PC,Appliances,McGlynn-Bergstrom,Othello Bowes,Avrit Chanders,"79,833.60"," 63,411.83 ",6/15/2019,6,15,2019
22-06-2020,81-2373308,France,PC,Smartphones,Kihn Inc,Othello Bowes,Amelina Piscopiello,"52,805.94"," 43,791.97 ",6/22/2020,6,22,2020
21-04-2019,60-8661261,France,PC,Beauty,"Lubowitz, McLaughlin and Erdman",Othello Bowes,Maighdiln Upcraft,"1,18,021.59"," 98,229.37 ",4/21/2019,4,21,2019
22-07-2019,32-5562588,France,PC,Beauty,Hessel-Stiedemann,Othello Bowes,Crysta Halls,"80,431.34"," 69,774.19 ",7/22/2019,7,22,2019
31-03-2019,33-6126082,France,PC,Appliances,"Spencer, Rogahn and Muller",Othello Bowes,Crysta Halls,"48,850.38"," 39,788.63 ",3/31/2019,3,31,2019
26-06-2020,46-1318487,France,PC,Outdoors,Armstrong-Little,Othello Bowes,Crysta Halls,"1,65,259.58"," 1,30,703.80 ",6/26/2020,6,26,2020
07-05-2019,99-3971751,France,PC,Clothing,Smith Group,Othello Bowes,Crysta Halls,"2,19,911.81"," 1,79,426.05 ",07-05-2019,7,5,2019
15-03-2020,30-9690927,France,PC,Electronics,West-Cummings,Othello Bowes,Crysta Halls,"16,388.90"," 13,430.70 ",3/15/2020,3,15,2020
07-04-2020,21-6670877,France,PC,Accessories,Hilll-Vandervort,Othello Bowes,Crysta Halls,"1,61,212.39"," 1,38,046.17 ",07-04-2020,7,4,2020
03-04-2019,34-3119010,France,PC,Smartphones,Walter LLC,Othello Bowes,Amelina Piscopiello,"66,678.38"," 53,009.31 ",03-04-2019,3,4,2019
04-09-2019,67-2684209,France,PC,Appliances,"Murray, Reichel and Nolan",Othello Bowes,Ora Grennan,"1,31,864.04"," 1,10,277.90 ",04-09-2019,4,9,2019
08-08-2020,47-9701762,France,Mobile,Electronics,Gislason-Stanton,Othello Bowes,Avrit Chanders,"1,41,112.84"," 1,20,044.69 ",08-08-2020,8,8,2020
08-03-2020,34-4313860,France,PC,Smartphones,Labadie and Sons,Othello Bowes,Ora Grennan,"1,74,392.33"," 1,41,449.62 ",08-03-2020,8,3,2020
02-08-2020,24-7300640,France,PC,Electronics,"Zieme, Bailey and Herzog",Othello Bowes,Amelina Piscopiello,"32,661.62"," 27,922.42 ",02-08-2020,2,8,2020
19-01-2020,44-9179070,France,PC,Smartphones,Wisoky Inc,Othello Bowes,Crysta Halls,"66,884.70"," 58,544.18 ",1/19/2020,1,19,2020
11-02-2019,59-5892824,France,PC,Clothing,Smith Group,Othello Bowes,Amelina Piscopiello,"1,65,118.74"," 1,37,527.40 ",11-02-2019,11,2,2019
26-02-2019,92-6298656,France,PC,Smartphones,Armstrong-Little,Othello Bowes,Maighdiln Upcraft,"35,289.75"," 29,424.59 ",2/26/2019,2,26,2019
02-08-2020,91-7317758,France,PC,Outdoors,Armstrong-Little,Othello Bowes,Avrit Chanders,"77,043.84"," 63,245.29 ",02-08-2020,2,8,2020
27-08-2019,70-5394452,France,PC,Appliances,Johns and Sons,Othello Bowes,Ora Grennan,"72,314.73"," 57,309.42 ",8/27/2019,8,27,2019
